,TIME,DEPTH,PRES
79,19650.28923611111,25,26.0
80,19650.403171296297,25,26.0
81,19650.61517361111,25,25.0
82,19650.647696759257,25,26.0
83,19650.694444444445,25,26.0
84,19650.99832175926,25,26.0
85,19651.005243055555,25,26.0
86,19651.030208333334,25,26.0
87,19651.134849537037,25,26.0
88,19651.339016203703,25,26.0
89,19651.379756944447,25,26.0
90,19651.638356481482,25,26.0
91,19651.944444444445,25,27.0
92,19652.187280092592,25,26.0
93,19652.5134375,25,26.0
94,19652.67042824074,25,26.0
95,19652.92638888889,25,25.0
96,19652.937997685185,25,26.0
97,19653.09107638889,25,26.0
98,19653.37821759259,25,26.0
99,19653.58832175926,25,26.0
100,19653.70244212963,25,26.0
101,19653.734733796296,25,26.0
102,19653.749270833334,25,26.0
103,19653.932997685184,25,26.0
104,19654.07363425926,25,25.0
105,19654.268958333334,25,26.0
106,19654.604386574076,25,26.0
107,19654.92815972222,25,26.0
108,19655.120844907407,25,25.0
109,19655.357939814814,25,27.0
110,19655.462627314813,25,25.0
111,19655.818043981482,25,27.0
112,19655.903136574074,25,26.0
113,19656.016655092593,25,125.0
114,19656.1596875,25,25.0
115,19656.406516203704,25,27.0
116,19656.494247685183,25,26.0
117,19656.776574074076,25,27.0
118,19656.874131944445,25,27.0
119,19656.968402777777,25,27.0
120,19657.132002314815,25,27.0
121,19657.261273148146,25,25.0
122,19657.454305555555,25,27.0
123,19657.89130787037,25,26.0
124,19658.537083333333,25,26.0
125,19658.57284722222,25,27.0
126,19658.616921296296,25,26.0
127,19658.654513888887,25,26.0
128,19658.693842592595,25,26.0
129,19658.73386574074,25,26.0
130,19658.77496527778,25,25.0
131,19658.82096064815,25,28.0
132,19658.862233796295,25,27.0
133,19658.9021875,25,26.0
134,19658.940381944445,25,26.0
135,19658.97585648148,25,26.0
136,19659.11909722222,25,25.0
137,19659.169583333332,25,26.0
138,19659.220671296298,25,26.0
139,19659.28751157407,25,26.0
140,19659.35886574074,25,26.0
141,19659.407650462963,25,25.0
142,19659.58148148148,25,26.0
143,19659.628773148146,25,26.0
144,19659.65818287037,25,27.0
145,19659.687384259258,25,26.0
146,19659.71820601852,25,26.0
147,19659.877372685183,25,25.0
148,19659.990972222222,25,26.0
149,19660.166354166668,25,25.0
150,19660.280347222222,25,26.0
151,19660.340046296296,25,27.0
152,19660.680381944443,25,26.0
153,19660.75579861111,25,26.0
154,19660.879953703705,25,28.0
155,19661.001180555555,25,26.0
156,19661.196898148148,25,25.0
157,19661.295601851853,25,26.0
158,19661.37898148148,25,26.0
159,19662.969178240743,25,26.0
160,19663.037337962964,25,25.0
161,19663.232233796294,25,26.0
162,19663.406990740743,25,26.0
163,19663.59008101852,25,27.0
164,19663.824861111112,25,26.0
165,19663.976446759258,25,26.0
166,19664.265092592592,25,26.0
167,19664.315069444445,25,26.0
168,19664.357627314814,25,27.0
169,19664.403252314816,25,27.0
170,19664.46028935185,25,25.0
171,19664.508159722223,25,26.0
172,19664.556377314813,25,26.0
173,19664.60337962963,25,25.0
174,19664.73560185185,25,26.0
175,19664.785,25,26.0
176,19664.835833333334,25,26.0
177,19664.886284722223,25,27.0
178,19664.939837962964,25,26.0
179,19664.993819444444,25,26.0
180,19665.035625,25,25.0
181,19665.07630787037,25,26.0
182,19665.1146412037,25,25.0
183,19665.142974537037,25,25.0
184,19665.171886574073,25,26.0
185,19665.2005787037,25,26.0
186,19665.230497685185,25,27.0
187,19665.265439814815,25,27.0
188,19665.30255787037,25,27.0
189,19665.34545138889,25,27.0
190,19665.387280092593,25,27.0
191,19665.426527777778,25,27.0
192,19665.465902777778,25,25.0
193,19665.505729166667,25,27.0
194,19665.542465277777,25,25.0
195,19665.582962962962,25,27.0
196,19665.615092592594,25,26.0
197,19665.635983796295,25,26.0
198,19666.760416666668,25,29.0
199,19668.302037037036,25,29.0
200,19668.441435185185,25,28.0
201,19668.548333333332,25,29.0
202,19668.622893518517,25,30.0
203,19668.719050925927,25,29.0
204,19668.89613425926,25,27.0
205,19669.012800925924,25,29.0
206,19669.096412037037,25,29.0
207,19669.186550925926,25,29.0
208,19669.288194444445,25,29.0
209,19669.387314814816,25,27.0
210,19669.46125,25,26.0
211,19669.54097222222,25,29.0
212,19669.623726851853,25,33.0
213,19669.744930555556,25,29.0
214,19669.888703703702,25,27.0
215,19670.003194444445,25,30.0
216,19670.097962962962,25,27.0
217,19672.30861111111,25,30.0
218,19672.42976851852,25,28.0
219,19672.63351851852,25,33.0
220,19673.457476851854,25,30.0
221,19682.974791666667,25,28.0
222,19683.289097222223,25,27.0
223,19683.34252314815,25,26.0
224,19683.391180555554,25,27.0
225,19683.43263888889,25,26.0
226,19683.559675925924,25,26.0
227,19683.598541666666,25,27.0
228,19683.774791666667,25,27.0
229,19683.833819444444,25,27.0
