,TIME,DEPTH,TEMP
0,20423.152604166666,25,11.014
1,20423.69306712963,25,11.249
2,20424.222546296296,25,11.458
3,20424.403159722224,25,
4,20425.475555555557,25,
5,20425.50324074074,25,9.434000000000001
6,20425.54685185185,25,9.342
7,20425.571400462963,25,10.013
8,20425.602962962963,25,9.842
9,20425.63457175926,25,10.759
10,20425.688981481482,25,10.762
11,20425.75789351852,25,10.505
12,20425.79291666667,25,10.515
13,20425.829421296297,25,11.733
14,20425.864131944447,25,10.276
15,20425.90105324074,25,11.161
16,20427.94334490741,25,9.425
17,20427.943414351852,25,11.161
18,20428.02795138889,25,9.697000000000001
19,20428.116782407407,25,10.0
20,20428.199386574073,25,9.547
21,20428.27855324074,25,9.489
22,20428.398784722223,25,9.471
23,20429.030185185187,25,9.701
24,20429.23704861111,25,10.329
25,20429.3815625,25,9.383000000000001
26,20429.523553240742,25,9.515
27,20434.997951388887,25,9.91
28,20441.607083333332,25,11.184000000000001
29,20442.597488425927,25,11.255
30,20442.634872685183,25,11.347
31,20442.670636574072,25,11.443
32,20464.414282407408,25,8.631
33,20465.580162037037,25,6.51
34,20466.327199074072,25,7.942
35,20466.674953703703,25,6.806
36,20467.307476851853,25,7.298
37,20467.713032407406,25,7.21
38,20468.3278125,25,6.791
39,20468.464016203703,25,6.939
40,20468.660127314815,25,6.9910000000000005
41,20469.387164351854,25,7.469
42,20469.564166666667,25,8.0
43,20470.297083333335,25,6.961
44,20470.587106481482,25,6.861
45,20470.75775462963,25,6.822
46,20471.29150462963,25,7.2620000000000005
47,20471.435069444444,25,7.723
48,20471.590405092593,25,7.397
49,20471.753113425926,25,7.640000000000001
50,20472.349097222224,25,7.912
51,20472.39212962963,25,9.055
52,20472.562291666665,25,8.195
53,20473.578449074073,25,7.292
54,20473.902060185184,25,7.3740000000000006
55,20473.977858796297,25,7.8340000000000005
56,20474.053287037037,25,8.08
57,20474.125555555554,25,8.33
58,20474.191944444447,25,8.76
59,20474.311180555556,25,8.236
60,20474.391261574074,25,8.475
61,20474.50773148148,25,8.766
62,20474.597488425927,25,8.736
63,20474.72065972222,25,8.057
64,20474.862662037038,25,8.194
65,20475.06537037037,25,6.734
66,20475.23503472222,25,6.3870000000000005
67,20475.418541666666,25,4.868
68,20475.63127314815,25,5.149
69,20477.04792824074,25,8.0
70,20477.193148148148,25,6.348
71,20477.223981481482,25,8.22
72,20477.543761574074,25,7.759
73,20477.714398148146,25,8.063
74,20477.801203703704,25,6.406
75,20477.862094907407,25,7.0280000000000005
76,20477.97195601852,25,6.3660000000000005
77,20478.050902777777,25,6.9
78,20478.115925925926,25,7.956
79,20478.22105324074,25,7.921
80,20478.301898148147,25,8.537
81,20478.470833333333,25,8.562
82,20478.519618055554,25,7.899
83,20478.649907407405,25,9.078
84,20478.670532407406,25,6.986
85,20478.87162037037,25,6.659
86,20478.950381944444,25,6.838
87,20479.163796296296,25,6.219
88,20479.327662037038,25,9.446
89,20479.48085648148,25,9.467
90,20479.5890625,25,9.26
91,20479.743900462963,25,9.062
92,20480.292789351854,25,9.113
93,20480.414166666666,25,8.26
94,20480.508854166666,25,9.012
95,20480.60148148148,25,8.343
96,20480.65832175926,25,-0.063
97,20480.683483796296,25,0.578
98,20480.731087962962,25,3.818
99,20480.744270833333,25,8.275
100,20480.79189814815,25,4.613
101,20480.842291666668,25,4.641
102,20480.905671296296,25,5.397
103,20481.01355324074,25,6.961
104,20481.102349537035,25,7.038
105,20481.21295138889,25,6.774
106,20481.309895833332,25,6.6240000000000006
107,20481.314270833333,25,7.824
108,20481.418055555554,25,6.773000000000001
109,20481.454687499998,25,8.228
110,20481.49840277778,25,6.9
111,20481.540891203706,25,8.221
112,20481.597326388888,25,6.954
113,20481.67101851852,25,6.74
114,20481.68783564815,25,8.281
115,20481.742800925927,25,6.946
116,20481.80023148148,25,6.909
117,20481.868310185186,25,6.835
118,20481.935810185187,25,7.073
119,20481.94263888889,25,6.212
120,20481.971215277776,25,5.969
121,20481.992222222223,25,6.716
122,20481.99247685185,25,6.766
123,20482.02996527778,25,6.176
124,20482.049988425926,25,6.066
125,20482.0621875,25,6.936
126,20482.12728009259,25,7.064
127,20482.15979166667,25,6.682
128,20482.22297453704,25,6.993
129,20482.278159722224,25,7.747
130,20482.33440972222,25,7.623
131,20482.363819444447,25,8.155
132,20482.40403935185,25,8.120000000000001
133,20482.433900462962,25,8.303
134,20482.470150462963,25,8.03
135,20482.497430555555,25,8.033
136,20482.53140046296,25,8.061
137,20482.56701388889,25,7.813
138,20482.61326388889,25,7.83
139,20482.649467592593,25,7.799
140,20482.706724537038,25,7.812
141,20482.77306712963,25,8.472
142,20482.850844907407,25,8.541
143,20482.912476851852,25,7.969
144,20482.9759375,25,8.132
145,20483.034641203703,25,8.229000000000001
146,20484.89523148148,25,4.767
147,20484.926215277777,25,5.175
148,20484.99736111111,25,5.08
149,20485.093958333335,25,5.257
150,20485.16597222222,25,5.188
151,20485.238634259258,25,5.759
152,20485.37303240741,25,5.723
153,20485.444826388888,25,5.256
154,20485.544456018517,25,5.238
155,20485.617280092592,25,5.152
156,20485.72202546296,25,4.867
157,20485.798125,25,4.59
158,20485.869143518517,25,5.035
159,20485.96315972222,25,5.032
160,20486.04037037037,25,5.022
161,20486.145960648148,25,4.534
162,20486.22212962963,25,4.574
163,20486.31931712963,25,4.555
164,20486.44659722222,25,4.478
165,20487.702696759257,25,4.63
166,20487.81644675926,25,6.196
167,20487.910011574073,25,6.617
168,20488.018206018518,25,6.4910000000000005
