,TIME,DEPTH,TEMP,PRES
0,20423.152604166666,10,11.006,12.0
1,20423.69306712963,10,11.243,12.0
2,20424.222546296296,10,11.453,13.0
3,20424.403159722224,10,9.925,15.0
4,20425.475555555557,10,8.427,11.0
5,20425.50324074074,10,9.279,11.0
6,20425.54685185185,10,9.323,11.0
7,20425.571400462963,10,10.009,11.0
8,20425.602962962963,10,9.029,11.0
9,20425.63457175926,10,8.852,11.0
10,20425.688981481482,10,8.784,11.0
11,20425.75789351852,10,10.418000000000001,17.0
12,20425.79291666667,10,9.009,14.0
13,20425.829421296297,10,9.681000000000001,13.0
14,20425.864131944447,10,9.303,12.0
15,20425.90105324074,10,9.06,15.0
16,20427.94334490741,10,9.464,14.0
17,20427.943414351852,10,9.06,15.0
18,20428.02795138889,10,9.846,12.0
19,20428.116782407407,10,10.034,11.0
20,20428.199386574073,10,9.631,11.0
21,20428.27855324074,10,9.477,11.0
22,20428.398784722223,10,9.468,12.0
23,20429.030185185187,10,9.698,10.0
24,20429.23704861111,10,10.281,11.0
25,20429.3815625,10,8.772,11.0
26,20429.523553240742,10,9.02,11.0
27,20434.997951388887,10,9.308,11.0
28,20441.607083333332,10,11.524000000000001,10.0
29,20442.597488425927,10,9.026,10.0
30,20442.634872685183,10,9.186,11.0
31,20442.670636574072,10,10.224,10.0
32,20464.414282407408,10,8.676,11.0
33,20465.580162037037,10,6.509,11.0
34,20466.327199074072,10,7.914000000000001,14.0
35,20466.674953703703,10,6.809,12.0
36,20467.307476851853,10,7.295,12.0
37,20467.713032407406,10,7.21,13.0
38,20468.3278125,10,6.79,13.0
39,20468.464016203703,10,6.938,13.0
40,20468.660127314815,10,6.989,10.0
41,20469.387164351854,10,7.466,13.0
42,20469.564166666667,10,8.049,12.0
43,20470.297083333335,10,6.956,13.0
44,20470.587106481482,10,6.861,11.0
45,20470.75775462963,10,6.806,12.0
46,20471.29150462963,10,7.259,13.0
47,20471.435069444444,10,7.722,13.0
48,20471.590405092593,10,7.4,11.0
49,20471.753113425926,10,7.6240000000000006,13.0
50,20472.349097222224,10,7.916,13.0
51,20472.39212962963,10,8.713000000000001,10.0
52,20472.562291666665,10,8.203,13.0
53,20473.578449074073,10,7.269,12.0
54,20473.902060185184,10,7.345,12.0
55,20473.977858796297,10,7.835,10.0
56,20474.053287037037,10,8.064,13.0
57,20474.125555555554,10,8.328,11.0
58,20474.191944444447,10,8.76,11.0
59,20474.311180555556,10,8.232,12.0
60,20474.391261574074,10,8.472,13.0
61,20474.50773148148,10,8.764,11.0
62,20474.597488425927,10,8.731,12.0
63,20474.72065972222,10,8.05,12.0
64,20474.862662037038,10,8.193,12.0
65,20475.06537037037,10,6.735,11.0
66,20475.23503472222,10,6.393,13.0
67,20475.418541666666,10,4.872,14.0
68,20475.63127314815,10,5.171,13.0
69,20477.04792824074,10,8.0,21.0
70,20477.193148148148,10,6.327,12.0
71,20477.223981481482,10,8.219,15.0
72,20477.543761574074,10,7.759,12.0
73,20477.714398148146,10,8.06,13.0
74,20477.801203703704,10,6.266,12.0
75,20477.862094907407,10,6.964,13.0
76,20477.97195601852,10,6.279,12.0
77,20478.050902777777,10,6.776,12.0
78,20478.115925925926,10,7.95,11.0
79,20478.22105324074,10,7.747,14.0
80,20478.301898148147,10,8.53,14.0
81,20478.470833333333,10,8.558,12.0
82,20478.519618055554,10,7.902,12.0
83,20478.649907407405,10,9.072000000000001,12.0
84,20478.670532407406,10,6.98,12.0
85,20478.87162037037,10,6.541,12.0
86,20478.950381944444,10,6.836,13.0
87,20479.163796296296,10,6.22,13.0
88,20479.327662037038,10,9.444,13.0
89,20479.48085648148,10,9.466000000000001,11.0
90,20479.5890625,10,8.937,12.0
91,20479.743900462963,10,9.054,13.0
92,20480.292789351854,10,9.111,15.0
93,20480.414166666666,10,8.265,14.0
94,20480.508854166666,10,9.02,11.0
95,20480.60148148148,10,7.457,12.0
96,20480.65832175926,10,-0.069,10.0
97,20480.683483796296,10,0.578,11.0
98,20480.731087962962,10,3.826,13.0
99,20480.744270833333,10,7.822,13.0
100,20480.79189814815,10,4.622,13.0
101,20480.842291666668,10,4.768,13.0
102,20480.905671296296,10,5.406,15.0
103,20481.01355324074,10,6.9590000000000005,11.0
104,20481.102349537035,10,7.037,11.0
105,20481.21295138889,10,6.772,13.0
106,20481.309895833332,10,6.62,13.0
107,20481.314270833333,10,7.812,13.0
108,20481.418055555554,10,6.769,13.0
109,20481.454687499998,10,8.226,13.0
110,20481.49840277778,10,6.890000000000001,13.0
111,20481.540891203706,10,8.192,11.0
112,20481.597326388888,10,6.949,11.0
113,20481.67101851852,10,6.7330000000000005,13.0
114,20481.68783564815,10,8.232,11.0
115,20481.742800925927,10,6.948,14.0
116,20481.80023148148,10,6.912,11.0
117,20481.868310185186,10,6.831,16.0
118,20481.935810185187,10,7.08,13.0
119,20481.94263888889,10,5.603,12.0
120,20481.971215277776,10,5.611,11.0
121,20481.992222222223,10,6.698,10.0
122,20481.99247685185,10,5.611,11.0
123,20482.02996527778,10,5.2540000000000004,11.0
124,20482.049988425926,10,6.042,12.0
125,20482.0621875,10,5.501,11.0
126,20482.12728009259,10,4.823,11.0
127,20482.15979166667,10,5.837,12.0
128,20482.22297453704,10,5.797,13.0
129,20482.278159722224,10,6.386,14.0
130,20482.33440972222,10,7.355,13.0
131,20482.363819444447,10,7.11,12.0
132,20482.40403935185,10,7.713,13.0
133,20482.433900462962,10,8.202,12.0
134,20482.470150462963,10,7.881,13.0
135,20482.497430555555,10,8.021,12.0
136,20482.53140046296,10,8.024000000000001,11.0
137,20482.56701388889,10,7.814,12.0
138,20482.61326388889,10,7.831,12.0
139,20482.649467592593,10,7.796,13.0
140,20482.706724537038,10,7.808,13.0
141,20482.77306712963,10,8.469,14.0
142,20482.850844907407,10,8.538,14.0
143,20482.912476851852,10,7.964,14.0
144,20482.9759375,10,8.127,12.0
145,20483.034641203703,10,8.215,11.0
