,TIME,DEPTH,PSAL
0,20058.224687500002,25,33.429
1,20058.30101851852,25,33.37
2,20058.50553240741,25,33.327
3,20058.587106481482,25,33.257
4,20058.667546296296,25,32.812
5,20058.97275462963,25,32.992
6,20059.76400462963,25,33.303
7,20059.953541666666,25,33.2
8,20060.444930555557,25,33.31
9,20060.511458333334,25,33.35
10,20060.655902777777,25,32.513
11,20060.75650462963,25,32.83
12,20060.766030092593,25,32.827
13,20060.791226851852,25,32.864
14,20061.250428240743,25,33.074
15,20061.315960648146,25,33.343
16,20061.430416666666,25,33.273
17,20061.511574074073,25,32.678
18,20061.55119212963,25,32.943
19,20062.71056712963,25,33.287
20,20062.978900462964,25,34.915
21,20063.996574074074,25,32.376
22,20064.008703703705,25,35.149
23,20064.014189814814,25,32.293
24,20064.03684027778,25,32.141
25,20064.059131944447,25,32.027
26,20064.08203703704,25,32.174
27,20064.215717592593,25,33.393
28,20064.44855324074,25,35.134
29,20064.66696759259,25,32.02
30,20064.916712962964,25,35.02
31,20064.94921296296,25,32.108000000000004
32,20065.13221064815,25,35.042
33,20065.276631944445,25,30.124000000000002
34,20065.408043981482,25,33.744
35,20065.614872685186,25,35.103
36,20065.634270833332,25,31.127
37,20065.854247685184,25,32.008
38,20066.870636574076,25,32.907000000000004
39,20066.93105324074,25,32.832
40,20067.063125,25,32.812
41,20067.0993287037,25,32.836
42,20067.129155092593,25,32.934
43,20067.162766203703,25,33.183
44,20067.909247685184,25,32.14
45,20067.94585648148,25,32.906
46,20067.983252314814,25,32.813
47,20068.282233796297,25,32.973
48,20068.342395833333,25,33.007
49,20068.51511574074,25,32.929
50,20068.559189814816,25,32.754
51,20068.637847222224,25,32.604
52,20069.396516203702,25,32.518
53,20069.433900462962,25,32.464
54,20069.998888888887,25,35.158
55,20070.53898148148,25,34.953
56,20070.962731481482,25,32.735
57,20071.301828703705,25,33.259
58,20071.32866898148,25,33.24
59,20071.35446759259,25,33.181
60,20071.398078703704,25,33.029
61,20071.44724537037,25,32.839
62,20071.584780092595,25,32.928
63,20071.627708333333,25,32.592
64,20071.670844907407,25,32.693
