,TIME,DEPTH,PRES
503,20521.67809027778,25,27.0
504,20521.84269675926,25,27.0
505,20522.206458333334,25,28.0
506,20522.464039351853,25,29.0
507,20522.733101851853,25,26.0
508,20522.976770833335,25,26.0
509,20523.219340277778,25,26.0
510,20523.441053240742,25,27.0
511,20523.639328703703,25,26.0
512,20523.69814814815,25,28.0
513,20524.152627314816,25,29.0
514,20524.42278935185,25,26.0
515,20524.673333333332,25,28.0
516,20524.706527777777,25,29.0
517,20524.807002314814,25,27.0
518,20524.882743055558,25,27.0
519,20524.93488425926,25,27.0
520,20524.9896875,25,29.0
521,20525.266192129628,25,26.0
522,20525.460682870373,25,28.0
523,20526.87818287037,25,28.0
524,20526.967372685187,25,27.0
525,20527.025439814814,25,29.0
526,20527.082685185185,25,29.0
527,20530.20766203704,25,27.0
528,20530.29076388889,25,26.0
529,20530.322974537037,25,36.0
530,20530.357604166667,25,25.0
531,20530.469490740743,25,27.0
532,20530.49960648148,25,29.0
533,20530.593391203704,25,28.0
534,20530.671666666665,25,30.0
535,20530.716006944444,25,32.0
536,20530.750115740742,25,27.0
537,20530.87193287037,25,26.0
538,20530.89201388889,25,31.0
539,20531.098784722224,25,26.0
540,20531.30696759259,25,33.0
541,20531.704976851852,25,27.0
542,20531.791550925926,25,28.0
543,20531.918425925924,25,26.0
544,20531.970532407406,25,27.0
545,20532.00236111111,25,29.0
546,20532.106921296294,25,28.0
547,20532.12179398148,25,26.0
548,20532.202488425926,25,27.0
549,20532.223645833332,25,32.0
550,20532.29403935185,25,27.0
551,20532.296400462965,25,30.0
552,20532.359490740742,25,28.0
553,20532.37974537037,25,28.0
554,20532.53505787037,25,26.0
555,20532.537453703702,25,28.0
556,20532.68457175926,25,27.0
557,20533.136226851853,25,27.0
558,20533.226076388888,25,26.0
559,20533.284641203703,25,26.0
560,20533.457407407408,25,27.0
561,20533.598784722224,25,28.0
562,20533.661354166667,25,27.0
563,20533.745185185184,25,27.0
564,20533.828819444443,25,26.0
565,20533.992824074074,25,26.0
566,20534.054525462965,25,27.0
567,20534.10855324074,25,26.0
568,20534.15619212963,25,27.0
569,20534.25457175926,25,26.0
570,20534.324548611112,25,26.0
571,20534.445613425927,25,26.0
572,20534.511203703703,25,27.0
