,TIME,DEPTH,TEMP
92,19658.97585648148,25,10.181000000000001
93,19659.11909722222,25,10.387
94,19659.169583333332,25,10.413
95,19659.220671296298,25,10.424
96,19659.28751157407,25,10.514
97,19659.35886574074,25,10.608
98,19659.407650462963,25,10.862
99,19659.58148148148,25,10.982000000000001
100,19659.628773148146,25,11.023
101,19659.65818287037,25,11.133000000000001
102,19659.687384259258,25,11.075000000000001
103,19659.71820601852,25,11.083
104,19659.877372685183,25,10.687
105,19659.990972222222,25,10.34
106,19660.166354166668,25,10.431000000000001
107,19660.280347222222,25,10.086
108,19660.340046296296,25,10.068
109,19660.680381944443,25,10.393
110,19660.75579861111,25,10.527000000000001
111,19660.879953703705,25,10.642
112,19661.001180555555,25,10.888
113,19661.196898148148,25,10.568
114,19661.295601851853,25,10.862
115,19661.37898148148,25,10.521
116,19662.969178240743,25,10.269
117,19663.037337962964,25,10.298
118,19663.232233796294,25,10.378
119,19663.406990740743,25,10.104000000000001
120,19663.59008101852,25,10.209
121,19663.824861111112,25,10.151
122,19663.976446759258,25,10.436
123,19664.265092592592,25,11.528
124,19664.315069444445,25,11.479000000000001
125,19664.357627314814,25,11.28
126,19664.403252314816,25,10.765
127,19664.46028935185,25,10.761000000000001
128,19664.508159722223,25,10.6
129,19664.556377314813,25,10.328
130,19664.60337962963,25,10.257
131,19664.73560185185,25,10.186
132,19664.785,25,10.47
133,19664.835833333334,25,10.28
134,19664.886284722223,25,10.224
135,19664.939837962964,25,10.364
136,19664.993819444444,25,10.369
137,19665.035625,25,10.28
138,19665.07630787037,25,10.388
139,19665.1146412037,25,10.672
140,19665.142974537037,25,10.598
141,19665.171886574073,25,10.4
142,19665.2005787037,25,10.512
143,19665.230497685185,25,10.562
144,19665.265439814815,25,10.223
145,19665.30255787037,25,10.264
146,19665.34545138889,25,10.391
147,19665.387280092593,25,10.290000000000001
148,19665.426527777778,25,10.668000000000001
149,19665.465902777778,25,10.552
150,19665.505729166667,25,10.542
151,19665.542465277777,25,10.973
152,19665.582962962962,25,10.99
153,19665.615092592594,25,10.981
154,19665.635983796295,25,11.057
155,19666.760416666668,25,10.288
156,19668.302037037036,25,10.733
