,TIME,DEPTH,TEMP
0,19617.610752314813,25,13.381
1,19617.78516203704,25,13.204
2,19618.17172453704,25,12.791
3,19619.869965277776,25,12.855
4,19619.911631944444,25,13.58
5,19620.07994212963,25,13.61
6,19620.396631944444,25,13.155000000000001
7,19620.54978009259,25,12.588000000000001
8,19620.701087962963,25,12.540000000000001
9,19620.83210648148,25,13.450000000000001
10,19620.961608796297,25,12.986
11,19621.185104166667,25,13.714
12,19621.305729166666,25,13.636000000000001
13,19621.519652777777,25,14.011000000000001
14,19621.703703703704,25,14.255
15,19621.95179398148,25,13.89
16,19622.06402777778,25,14.25
17,19622.241875,25,14.281
18,19622.3853125,25,13.951
19,19622.557604166668,25,14.198
20,19622.72164351852,25,14.099
21,19622.900381944444,25,13.405000000000001
22,19623.06824074074,25,13.562000000000001
23,19623.62796296296,25,13.779
24,19623.788541666665,25,13.779
25,19623.976666666666,25,14.201
26,19624.169074074074,25,13.225
27,19624.346782407407,25,13.336
28,19624.57222222222,25,13.64
29,19624.73833333333,25,13.488
30,19624.962893518517,25,13.869
31,19625.20320601852,25,13.044
32,19625.368252314813,25,13.083
33,19625.59482638889,25,13.768
34,19625.764467592595,25,14.223
35,19626.03421296296,25,13.946
36,19626.241574074073,25,13.673
37,19626.418796296297,25,10.522
38,19626.599097222224,25,14.307
39,19626.724131944444,25,10.136000000000001
40,19626.909976851854,25,14.435
41,19630.76009259259,25,14.378
42,19630.98329861111,25,14.59
43,19631.246273148146,25,14.438
44,19631.84869212963,25,14.200000000000001
45,19632.011898148146,25,14.012
46,19632.29789351852,25,13.729000000000001
47,19632.499282407407,25,14.39
48,19633.131875,25,14.5
49,19633.39579861111,25,13.757
50,19633.72869212963,25,13.062
51,19633.93357638889,25,13.214
52,19634.86212962963,25,12.988
53,19635.105185185184,25,12.901
54,19641.326412037037,25,10.315
55,19641.429247685184,25,10.49
56,19641.529224537036,25,10.827
57,19641.616828703704,25,10.96
58,19641.69636574074,25,11.389000000000001
59,19648.21554398148,25,11.471
60,19648.315949074076,25,11.369
61,19648.411145833332,25,11.177
62,19648.71537037037,25,11.57
63,19648.796805555558,25,11.338000000000001
64,19648.91833333333,25,11.096
65,19649.047118055558,25,11.346
66,19649.142256944444,25,11.292
67,19649.25445601852,25,10.778
68,19649.358263888887,25,11.146
69,19649.426550925924,25,12.25
70,19649.42740740741,25,11.141
71,19649.456597222223,25,
72,19649.532291666666,25,10.834
73,19649.637002314816,25,11.534
74,19649.74332175926,25,10.907
75,19649.911238425924,25,10.802
76,19650.153599537036,25,10.983
77,19650.209328703702,25,10.415000000000001
78,19650.2162037037,25,11.034
79,19650.28923611111,25,10.912
80,19650.403171296297,25,11.845
81,19650.61517361111,25,10.705
82,19650.647696759257,25,10.939
83,19650.694444444445,25,11.926
84,19650.99832175926,25,11.779
85,19651.005243055555,25,10.883000000000001
86,19651.030208333334,25,12.211
87,19651.134849537037,25,10.461
88,19651.339016203703,25,12.049
89,19651.379756944447,25,12.105
90,19651.638356481482,25,10.616
91,19651.944444444445,25,10.731
92,19652.187280092592,25,11.01
93,19652.5134375,25,10.966000000000001
94,19652.67042824074,25,10.995000000000001
95,19652.92638888889,25,11.11
96,19652.937997685185,25,10.99
97,19653.09107638889,25,10.675
98,19653.37821759259,25,10.673
99,19653.58832175926,25,10.532
100,19653.70244212963,25,10.67
101,19653.734733796296,25,10.762
102,19653.749270833334,25,10.715
103,19653.932997685184,25,10.717
104,19654.07363425926,25,10.163
