,TIME,DEPTH,TEMP,PRES
0,19692.254652777778,25,9.246,27.0
1,19692.628032407407,25,9.844,26.0
2,19692.684050925924,25,9.975,27.0
3,19692.70900462963,25,10.445,26.0
4,19692.728078703705,25,10.598,29.0
5,19692.754166666666,25,10.516,27.0
6,19692.796828703704,25,10.704,27.0
7,19692.814421296298,25,10.779,27.0
8,19692.836527777778,25,10.946,28.0
9,19693.03357638889,25,7.742,25.0
10,19693.050648148146,25,9.769,28.0
11,19693.068287037036,25,9.97,28.0
12,19693.08523148148,25,9.554,28.0
13,19693.10162037037,25,9.423,28.0
14,19693.477129629628,25,9.206,27.0
15,19693.54962962963,25,9.49,26.0
16,19693.630949074075,25,10.040000000000001,27.0
17,19693.683287037038,25,9.895,26.0
18,19693.823645833334,25,9.919,27.0
19,19694.118668981482,25,9.082,28.0
20,19694.325856481482,25,7.2010000000000005,25.0
21,19694.361782407406,25,7.399,27.0
22,19694.38221064815,25,7.273000000000001,30.0
23,19694.404895833333,25,7.197,26.0
24,19694.56545138889,25,9.392,27.0
25,19694.617071759258,25,8.743,28.0
26,19694.69244212963,25,9.741,27.0
27,19695.04265046296,25,9.816,28.0
28,19695.626342592594,25,7.064,26.0
29,19697.485254629628,25,7.416,26.0
30,19697.498645833333,25,7.402,26.0
31,19697.518888888888,25,7.606,25.0
32,19697.543344907408,25,6.953,26.0
33,19697.567858796294,25,9.063,28.0
34,19697.58576388889,25,7.3870000000000005,26.0
35,19697.62346064815,25,7.4030000000000005,26.0
36,19697.64998842593,25,6.746,26.0
37,19697.696122685185,25,7.018,26.0
38,19697.711284722223,25,8.646,28.0
39,19697.914548611112,25,8.603,26.0
40,19697.977256944443,25,8.671,27.0
41,19698.052604166667,25,8.786,27.0
42,19698.264224537037,25,8.745000000000001,28.0
43,19698.308622685185,25,8.71,26.0
44,19698.42417824074,25,8.695,28.0
45,19698.610729166667,25,8.113,28.0
46,19698.732916666668,25,7.1160000000000005,26.0
47,19698.80144675926,25,8.312,28.0
48,19699.146030092594,25,7.114,25.0
49,19699.306030092594,25,7.178,28.0
50,19699.739618055555,25,8.011000000000001,29.0
51,19699.88394675926,25,7.109,27.0
52,19699.938877314813,25,8.066,28.0
53,19700.170601851853,25,8.065,27.0
54,19700.26103009259,25,7.822,28.0
55,19700.33179398148,25,7.4510000000000005,27.0
56,19701.04949074074,25,6.949,26.0
57,19701.107627314814,25,7.013,25.0
58,19701.82888888889,25,6.88,26.0
59,19702.398252314815,25,6.625,25.0
60,19702.489131944447,25,6.75,26.0
61,19703.495717592592,25,6.694,26.0
62,19703.666469907406,25,6.686,25.0
63,19703.68435185185,25,6.686,26.0
64,19703.705625,25,6.926,26.0
65,19703.73215277778,25,7.247,26.0
66,19704.4840625,25,7.956,26.0
67,19704.76478009259,25,7.258,25.0
68,19705.055486111112,25,7.352,25.0
69,19705.218344907407,25,7.096,26.0
70,19705.374837962965,25,8.269,26.0
71,19705.610532407405,25,7.643,27.0
72,19705.792835648146,25,7.045,26.0
73,19706.722476851854,25,7.424,27.0
74,19706.89582175926,25,7.994,25.0
75,19707.025104166667,25,6.268,27.0
76,19707.139386574072,25,6.333,26.0
77,19707.287280092594,25,6.317,25.0
78,19707.42855324074,25,6.864,27.0
79,19707.649699074074,25,6.577,25.0
80,19707.85150462963,25,7.359,27.0
81,19708.06641203704,25,6.98,25.0
82,19708.19885416667,25,7.393,26.0
83,19708.459618055556,25,6.746,27.0
84,19708.92704861111,25,7.348,25.0
85,19709.127719907407,25,5.978,26.0
86,19709.30216435185,25,6.756,28.0
87,19709.49513888889,25,7.259,26.0
88,19740.49835648148,25,6.76,26.0
89,19740.58653935185,25,6.715,28.0
90,19740.667662037038,25,7.634,28.0
91,19740.744085648148,25,8.572000000000001,26.0
92,19740.82013888889,25,8.367,27.0
93,19740.924930555553,25,7.861,25.0
94,19741.00354166667,25,7.811,29.0
95,19741.115162037036,25,8.254,28.0
96,19741.201412037037,25,8.05,27.0
97,19741.320833333335,25,8.113,27.0
98,19741.44386574074,25,8.26,25.0
99,19741.61021990741,25,7.62,30.0
100,19741.735243055555,25,5.997,26.0
101,19741.92462962963,25,6.075,27.0
102,19742.06465277778,25,5.914,27.0
103,19743.67172453704,25,6.173,25.0
104,19743.816851851854,25,6.9270000000000005,26.0
105,19743.959583333333,25,6.9590000000000005,28.0
106,19744.434328703705,25,7.206,26.0
107,19744.581435185184,25,6.888,27.0
108,19744.620844907407,25,6.211,28.0
109,19744.64652777778,25,6.672,27.0
110,19744.684363425924,25,6.256,28.0
111,19744.757465277777,25,6.992,25.0
112,19744.777280092592,25,7.4,27.0
113,19744.81386574074,25,7.365,26.0
114,19744.851284722223,25,6.71,25.0
115,19744.871273148146,25,7.607,27.0
116,19744.91859953704,25,6.192,26.0
117,19744.957858796297,25,5.965,27.0
118,19744.986643518518,25,8.523,27.0
119,19745.00292824074,25,5.0200000000000005,27.0
120,19745.040694444444,25,8.766,28.0
121,19745.074085648146,25,8.598,27.0
122,19745.39480324074,25,6.556,25.0
123,19745.695752314816,25,5.5440000000000005,26.0
124,19745.75480324074,25,6.0280000000000005,27.0
125,19745.805868055555,25,6.1930000000000005,26.0
126,19745.856863425925,25,6.332,25.0
127,19745.919756944444,25,6.412,26.0
128,19745.968622685185,25,6.172,26.0
129,19746.019652777777,25,6.386,27.0
130,19746.10585648148,25,6.381,27.0
131,19746.176805555555,25,6.333,27.0
132,19746.26958333333,25,6.140000000000001,27.0
133,19746.34329861111,25,6.016,26.0
134,19746.421620370373,25,6.027,26.0
135,19746.50445601852,25,5.128,27.0
136,19746.60158564815,25,5.006,28.0
137,19746.68579861111,25,3.818,28.0
138,19746.77496527778,25,3.571,27.0
139,19746.835682870373,25,3.479,27.0
140,19746.888148148148,25,2.86,27.0
141,19746.950717592594,25,1.842,28.0
142,19746.979247685184,25,-1.167,27.0
143,19747.784930555554,25,2.521,25.0
144,19747.948784722223,25,1.647,26.0
145,19748.02630787037,25,3.454,27.0
146,19748.120578703703,25,3.464,28.0
147,19748.199074074073,25,3.823,27.0
148,19748.295601851853,25,3.797,26.0
149,19748.370671296296,25,4.081,27.0
150,19748.46347222222,25,4.065,27.0
151,19748.541909722222,25,4.09,26.0
152,19748.61559027778,25,4.365,28.0
153,19748.713449074075,25,4.6850000000000005,26.0
154,19748.790277777778,25,4.729,27.0
155,19748.881620370372,25,4.479,25.0
156,19748.95673611111,25,4.993,27.0
157,19749.029583333333,25,4.69,27.0
158,19749.115439814814,25,4.479,28.0
159,19749.189837962964,25,4.668,27.0
160,19749.274016203704,25,4.553,25.0
161,19749.307546296295,25,4.1770000000000005,27.0
162,19754.2946875,25,6.061,26.0
163,19754.753703703704,25,6.795,27.0
164,19754.757025462965,25,5.3500000000000005,25.0
165,19754.80912037037,25,6.524,26.0
166,19754.859780092593,25,5.976,26.0
167,19754.902430555554,25,6.008,25.0
168,19754.94238425926,25,6.005,27.0
169,19754.991886574073,25,7.703,26.0
170,19755.050277777777,25,7.5040000000000004,26.0
171,19755.096018518518,25,7.757000000000001,25.0
172,19755.13902777778,25,7.8660000000000005,25.0
173,19755.185925925925,25,7.873,29.0
174,19755.220474537036,25,8.825000000000001,28.0
175,19755.255833333333,25,7.7940000000000005,29.0
176,19755.31465277778,25,8.017,26.0
177,19755.381944444445,25,8.155,26.0
178,19755.469652777778,25,8.393,27.0
179,19755.519409722223,25,5.079,26.0
180,19755.697060185186,25,8.641,28.0
181,19755.755937500002,25,8.667,26.0
182,19755.847743055554,25,5.274,26.0
183,19756.661180555555,25,8.742,25.0
184,19756.70986111111,25,8.743,33.0
185,19756.825868055555,25,8.332,29.0
186,19756.92451388889,25,8.761000000000001,27.0
187,19757.00337962963,25,8.545,26.0
188,19757.771747685187,25,5.1080000000000005,27.0
189,19758.295439814814,25,5.1370000000000005,26.0
190,19758.39622685185,25,8.314,27.0
191,19758.56642361111,25,8.437,27.0
192,19759.40496527778,25,7.953,25.0
193,19759.550474537038,25,8.143,27.0
194,19759.78295138889,25,8.445,28.0
195,19759.93091435185,25,8.025,27.0
196,19760.403541666667,25,8.364,26.0
197,19761.302037037036,25,5.472,26.0
198,19761.40579861111,25,4.7170000000000005,26.0
199,19761.519560185185,25,4.093,25.0
200,19761.55966435185,25,4.893,25.0
201,19761.668217592593,25,4.118,25.0
202,19761.670451388887,25,4.851,26.0
203,19761.77671296296,25,4.015,27.0
204,19761.815810185184,25,4.607,27.0
205,19761.899479166666,25,4.086,26.0
206,19761.985104166666,25,4.344,25.0
207,19762.00619212963,25,4.102,25.0
208,19762.11386574074,25,3.7920000000000003,26.0
209,19762.146331018517,25,4.853,25.0
210,19762.219178240743,25,3.787,25.0
211,19762.296377314815,25,4.99,25.0
212,19762.332291666666,25,3.465,26.0
213,19762.442546296297,25,7.691,26.0
214,19762.445590277777,25,3.535,29.0
215,19762.44958333333,25,5.015,26.0
216,19762.48491898148,25,7.995,27.0
217,19762.531724537035,25,8.208,28.0
218,19762.57851851852,25,7.758,25.0
219,19762.58888888889,25,3.9290000000000003,26.0
220,19762.623518518518,25,4.7780000000000005,26.0
221,19762.634224537036,25,7.339,25.0
222,19762.68553240741,25,8.021,25.0
223,19762.72287037037,25,3.821,26.0
224,19762.735416666666,25,7.986,27.0
225,19762.765462962965,25,4.591,26.0
226,19762.78584490741,25,7.9670000000000005,26.0
227,19762.835671296296,25,7.909,27.0
228,19762.872442129632,25,3.966,27.0
229,19762.984629629627,25,3.802,26.0
230,19763.005613425925,25,5.2250000000000005,25.0
231,19763.040856481482,25,7.674,26.0
232,19763.087361111113,25,7.817,27.0
233,19763.109340277777,25,2.874,30.0
234,19763.139143518518,25,7.966,27.0
235,19763.142337962963,25,5.3500000000000005,26.0
236,19763.2140625,25,3.84,26.0
237,19763.29011574074,25,5.476,27.0
238,19763.32275462963,25,3.5540000000000003,27.0
239,19763.352662037036,25,7.9990000000000006,27.0
240,19763.413738425927,25,3.0020000000000002,29.0
241,19763.442395833332,25,5.138,26.0
242,19763.522430555557,25,3.452,27.0
243,19763.525324074075,25,7.83,27.0
244,19763.597777777777,25,4.923,26.0
245,19763.630347222224,25,7.72,26.0
246,19763.630983796294,25,2.882,27.0
247,19763.72923611111,25,7.9670000000000005,27.0
248,19763.74494212963,25,4.673,27.0
249,19763.753391203703,25,3.3770000000000002,27.0
250,19763.833564814817,25,7.796,28.0
251,19763.886226851853,25,7.531000000000001,25.0
252,19763.89025462963,25,4.585,27.0
253,19763.948333333334,25,7.851,26.0
254,19763.992291666666,25,7.441,25.0
255,19764.03079861111,25,2.63,25.0
256,19764.030949074073,25,4.706,25.0
257,19764.0491087963,25,7.423,26.0
258,19764.079282407405,25,7.465,26.0
259,19764.10875,25,7.48,26.0
260,19764.15303240741,25,7.72,27.0
261,19764.15986111111,25,0.896,25.0
262,19764.181203703705,25,7.19,26.0
263,19764.211319444443,25,6.472,26.0
264,19764.30570601852,25,-0.686,27.0
265,19764.38087962963,25,8.18,51.0
266,19764.429594907408,25,0.291,27.0
267,19764.524930555555,25,7.87,27.0
268,19764.553738425926,25,0.86,27.0
269,19764.622731481482,25,7.518,26.0
270,19764.66712962963,25,0.516,27.0
271,19764.758125,25,7.272,27.0
272,19764.931828703706,25,6.922,25.0
273,19764.964386574076,25,6.083,26.0
274,19764.998877314814,25,6.336,27.0
275,19765.030370370372,25,6.287,27.0
276,19765.060671296294,25,6.111,26.0
277,19765.094583333335,25,6.099,25.0
278,19765.129618055555,25,7.061,26.0
279,19765.166979166668,25,6.617,27.0
280,19765.40394675926,25,5.509,27.0
281,19765.564456018517,25,5.497,25.0
282,19765.73298611111,25,4.908,26.0
283,19765.909386574076,25,4.059,27.0
284,19766.08471064815,25,5.04,26.0
285,19766.226493055558,25,5.546,26.0
286,19766.37633101852,25,4.448,27.0
287,19766.53216435185,25,3.462,26.0
288,19766.707164351854,25,2.943,26.0
289,19766.82400462963,25,4.231,26.0
290,19766.946527777778,25,4.391,26.0
291,19767.08101851852,25,5.315,25.0
292,19767.20954861111,25,5.078,25.0
293,19767.33980324074,25,7.448,28.0
294,19767.544363425925,25,7.723,26.0
295,19767.55759259259,25,4.343,27.0
296,19767.67667824074,25,7.747,27.0
297,19767.693506944444,25,4.368,26.0
298,19767.839664351854,25,4.396,27.0
299,19767.841631944444,25,7.804,27.0
300,19767.993425925928,25,4.707,28.0
301,19768.133611111112,25,4.369,27.0
302,19768.23482638889,25,4.32,28.0
303,19768.332847222224,25,7.16,27.0
304,19768.36087962963,25,3.98,28.0
305,19768.464675925927,25,7.468,26.0
306,19768.49111111111,25,4.05,27.0
307,19768.616180555557,25,7.534,27.0
308,19768.620625,25,3.952,27.0
309,19768.727488425928,25,7.61,25.0
310,19768.74792824074,25,3.672,26.0
311,19768.877604166668,25,4.533,26.0
312,19768.99834490741,25,4.17,26.0
313,19769.13605324074,25,3.706,28.0
314,19769.19462962963,25,7.465,26.0
315,19769.263576388887,25,3.048,28.0
316,19769.33304398148,25,7.181,25.0
317,19769.448032407407,25,3.833,28.0
318,19769.482037037036,25,7.114,26.0
319,19769.563587962963,25,3.519,27.0
320,19769.586134259258,25,7.239,26.0
321,19769.672650462962,25,3.523,29.0
322,19769.759814814814,25,6.974,27.0
323,19769.807060185183,25,3.6990000000000003,28.0
324,19769.90229166667,25,6.183,25.0
325,19769.94763888889,25,,
326,19769.995277777776,25,6.284,26.0
327,19770.050659722223,25,6.3100000000000005,27.0
328,19770.105625,25,6.377,26.0
329,19770.16025462963,25,6.341,27.0
330,19770.216481481482,25,6.215,27.0
331,19770.29451388889,25,6.465,25.0
332,19770.398634259258,25,6.485,26.0
333,19770.554803240742,25,6.238,27.0
334,19770.645173611112,25,6.3180000000000005,26.0
335,19770.737083333333,25,6.1450000000000005,27.0
336,19770.887708333332,25,6.502,26.0
337,19770.956898148146,25,6.668,26.0
338,19770.997604166667,25,7.1690000000000005,28.0
339,19771.313981481482,25,7.5,26.0
340,19771.342453703703,25,7.361,27.0
341,19771.544826388887,25,7.1770000000000005,25.0
342,19771.62366898148,25,7.426,28.0
343,19771.699328703704,25,7.0360000000000005,28.0
344,19771.951701388887,25,5.071,27.0
345,19772.086875,25,4.698,27.0
346,19772.41866898148,25,-1.196,29.0
347,19772.76310185185,25,-0.093,25.0
348,19772.988877314816,25,0.419,25.0
349,19773.229363425926,25,-1.677,25.0
350,19773.43289351852,25,2.463,27.0
351,19773.575520833332,25,-0.308,26.0
352,19773.72025462963,25,-0.974,25.0
353,19773.910613425924,25,-1.7650000000000001,27.0
354,19774.172592592593,25,-1.379,26.0
355,19774.324722222223,25,-1.335,27.0
356,19774.494641203706,25,2.322,27.0
357,19774.646967592595,25,1.452,27.0
358,19774.782314814813,25,-0.10400000000000001,26.0
359,19775.004814814816,25,1.756,27.0
360,19775.171620370373,25,0.378,26.0
361,19775.313668981482,25,3.162,28.0
362,19775.46423611111,25,3.406,27.0
363,19775.60027777778,25,3.384,27.0
364,19775.678796296295,25,6.1160000000000005,25.0
365,19775.719178240743,25,3.087,27.0
366,19775.73582175926,25,6.267,25.0
367,19775.756863425926,25,6.229,26.0
368,19775.797488425927,25,6.2700000000000005,27.0
369,19775.840891203705,25,6.478,27.0
