,TIME,DEPTH,TEMP
0,19692.254652777778,25,9.246
1,19692.628032407407,25,9.844
2,19692.684050925924,25,9.975
3,19692.70900462963,25,10.445
4,19692.728078703705,25,10.598
5,19692.754166666666,25,10.516
6,19692.796828703704,25,10.704
7,19692.814421296298,25,10.779
8,19692.836527777778,25,10.946
9,19693.03357638889,25,7.742
10,19693.050648148146,25,9.769
11,19693.068287037036,25,9.97
12,19693.08523148148,25,9.554
13,19693.10162037037,25,9.423
14,19693.477129629628,25,9.206
15,19693.54962962963,25,9.49
16,19693.630949074075,25,10.040000000000001
17,19693.683287037038,25,9.895
18,19693.823645833334,25,9.919
19,19694.118668981482,25,9.082
20,19694.325856481482,25,7.2010000000000005
21,19694.361782407406,25,7.399
22,19694.38221064815,25,7.273000000000001
23,19694.404895833333,25,7.197
24,19694.56545138889,25,9.392
25,19694.617071759258,25,8.743
26,19694.69244212963,25,9.741
27,19695.04265046296,25,9.816
28,19695.626342592594,25,7.064
29,19697.485254629628,25,7.416
30,19697.498645833333,25,7.402
31,19697.518888888888,25,7.606
32,19697.543344907408,25,6.953
33,19697.567858796294,25,9.063
34,19697.58576388889,25,7.3870000000000005
35,19697.62346064815,25,7.4030000000000005
36,19697.64998842593,25,6.746
37,19697.696122685185,25,7.018
38,19697.711284722223,25,8.646
39,19697.914548611112,25,8.603
40,19697.977256944443,25,8.671
41,19698.052604166667,25,8.786
42,19698.264224537037,25,8.745000000000001
43,19698.308622685185,25,8.71
44,19698.42417824074,25,8.695
45,19698.610729166667,25,8.113
46,19698.732916666668,25,7.1160000000000005
47,19698.80144675926,25,8.312
48,19699.146030092594,25,7.114
49,19699.306030092594,25,7.178
50,19699.739618055555,25,8.011000000000001
51,19699.88394675926,25,7.109
52,19699.938877314813,25,8.066
53,19700.170601851853,25,8.065
54,19700.26103009259,25,7.822
55,19700.33179398148,25,7.4510000000000005
56,19701.04949074074,25,6.949
57,19701.107627314814,25,7.013
58,19701.82888888889,25,6.88
59,19702.398252314815,25,6.625
60,19702.489131944447,25,6.75
61,19703.495717592592,25,6.694
62,19703.666469907406,25,6.686
63,19703.68435185185,25,6.686
64,19703.705625,25,6.926
65,19703.73215277778,25,7.247
66,19704.4840625,25,7.956
67,19704.76478009259,25,7.258
68,19705.055486111112,25,7.352
69,19705.218344907407,25,7.096
70,19705.374837962965,25,8.269
71,19705.610532407405,25,7.643
72,19705.792835648146,25,7.045
73,19706.722476851854,25,7.424
74,19706.89582175926,25,7.994
75,19707.025104166667,25,6.268
76,19707.139386574072,25,6.333
77,19707.287280092594,25,6.317
78,19707.42855324074,25,6.864
79,19707.649699074074,25,6.577
80,19707.85150462963,25,7.359
81,19708.06641203704,25,6.98
82,19708.19885416667,25,7.393
83,19708.459618055556,25,6.746
84,19708.92704861111,25,7.348
85,19709.127719907407,25,5.978
86,19709.30216435185,25,6.756
87,19709.49513888889,25,7.259
